;mean;amin;amax;median;std;var
168;0.0;0.0;0.0;0.0;0.0;0.0
240;0.0;0.0;0.0;0.0;0.0;0.0
424;0.0;0.0;0.0;0.0;0.0;0.0
464;1.0;1.0;1.0;1.0;0.0;0.0
568;0.0;0.0;0.0;0.0;0.0;0.0
592;1.0;1.0;1.0;1.0;0.0;0.0
708;0.0;0.0;0.0;0.0;0.0;0.0
784;0.0;0.0;0.0;0.0;0.0;0.0
948;0.0;0.0;0.0;0.0;0.0;0.0
1024;0.0;0.0;0.0;0.0;0.0;0.0
1088;1.0;1.0;1.0;1.0;0.0;0.0
1264;0.0;0.0;0.0;0.0;0.0;0.0
1368;0.0;0.0;0.0;0.0;0.0;0.0
1584;0.0;0.0;0.0;0.0;0.0;0.0
1652;0.0;0.0;0.0;0.0;0.0;0.0
1688;0.0;0.0;0.0;0.0;0.0;0.0
1824;0.0;0.0;0.0;0.0;0.0;0.0
1892;0.0;0.0;0.0;0.0;0.0;0.0
1972;0.0;0.0;0.0;0.0;0.0;0.0
2052;0.0;0.0;0.0;0.0;0.0;0.0
2132;0.0;0.0;0.0;0.0;0.0;0.0
2276;0.0;0.0;0.0;0.0;0.0;0.0
2320;0.0;0.0;0.0;0.0;0.0;0.0
2344;0.0;0.0;0.0;0.0;0.0;0.0
2400;0.0;0.0;0.0;0.0;0.0;0.0
2584;0.0;0.0;0.0;0.0;0.0;0.0
2676;1.0;1.0;1.0;1.0;0.0;0.0
2816;0.0;0.0;0.0;0.0;0.0;0.0
2832;0.0;0.0;0.0;0.0;0.0;0.0
2880;0.0;0.0;0.0;0.0;0.0;0.0
2936;1.0;1.0;1.0;1.0;0.0;0.0
2992;0.0;0.0;0.0;0.0;0.0;0.0
3016;0.0;0.0;0.0;0.0;0.0;0.0
3136;0.0;0.0;0.0;0.0;0.0;0.0
3292;0.0;0.0;0.0;0.0;0.0;0.0
3328;1.0;1.0;1.0;1.0;0.0;0.0
3372;0.0;0.0;0.0;0.0;0.0;0.0
3532;0.0;0.0;0.0;0.0;0.0;0.0
3612;1.0;1.0;1.0;1.0;0.0;0.0
3692;0.0;0.0;0.0;0.0;0.0;0.0
4012;0.0;0.0;0.0;0.0;0.0;0.0
4036;1.0;1.0;1.0;1.0;0.0;0.0
4128;0.0;0.0;0.0;0.0;0.0;0.0
4268;0.0;0.0;0.0;0.0;0.0;0.0
4516;0.0;0.0;0.0;0.0;0.0;0.0
4532;0.0;0.0;0.0;0.0;0.0;0.0
4652;1.0;1.0;1.0;1.0;0.0;0.0
4676;0.0;0.0;0.0;0.0;0.0;0.0
4732;0.0;0.0;0.0;0.0;0.0;0.0
4784;0.0;0.0;0.0;0.0;0.0;0.0
4856;1.0;1.0;1.0;1.0;0.0;0.0
4968;0.0;0.0;0.0;0.0;0.0;0.0
5208;1.0;1.0;1.0;1.0;0.0;0.0
5256;1.0;1.0;1.0;1.0;0.0;0.0
5316;0.0;0.0;0.0;0.0;0.0;0.0
5560;1.0;1.0;1.0;1.0;0.0;0.0
5668;0.0;0.0;0.0;0.0;0.0;0.0
5768;1.0;1.0;1.0;1.0;0.0;0.0
5968;1.0;1.0;1.0;1.0;0.0;0.0
6044;1.0;1.0;1.0;1.0;0.0;0.0
6304;1.0;1.0;1.0;1.0;0.0;0.0
6348;1.0;1.0;1.0;1.0;0.0;0.0
6416;0.0;0.0;0.0;0.0;0.0;0.0
6448;1.0;1.0;1.0;1.0;0.0;0.0
6496;1.0;1.0;1.0;1.0;0.0;0.0
6540;1.0;1.0;1.0;1.0;0.0;0.0
6552;1.0;1.0;1.0;1.0;0.0;0.0
6724;1.0;1.0;1.0;1.0;0.0;0.0
6896;1.0;1.0;1.0;1.0;0.0;0.0
6980;1.0;1.0;1.0;1.0;0.0;0.0
6996;1.0;1.0;1.0;1.0;0.0;0.0
7044;1.0;1.0;1.0;1.0;0.0;0.0
7068;0.0;0.0;0.0;0.0;0.0;0.0
7092;1.0;1.0;1.0;1.0;0.0;0.0
7320;0.0;0.0;0.0;0.0;0.0;0.0
7456;0.0;0.0;0.0;0.0;0.0;0.0
7524;1.0;1.0;1.0;1.0;0.0;0.0
7528;1.0;1.0;1.0;1.0;0.0;0.0
7556;1.0;1.0;1.0;1.0;0.0;0.0
7632;1.0;1.0;1.0;1.0;0.0;0.0
7704;1.0;1.0;1.0;1.0;0.0;0.0
7784;1.0;1.0;1.0;1.0;0.0;0.0
7872;1.0;1.0;1.0;1.0;0.0;0.0
7948;1.0;1.0;1.0;1.0;0.0;0.0
8044;0.0;0.0;0.0;0.0;0.0;0.0
8112;1.0;1.0;1.0;1.0;0.0;0.0
8232;1.0;1.0;1.0;1.0;0.0;0.0
8292;1.0;1.0;1.0;1.0;0.0;0.0
8468;1.0;1.0;1.0;1.0;0.0;0.0
8568;1.0;1.0;1.0;1.0;0.0;0.0
8620;0.0;0.0;0.0;0.0;0.0;0.0
8660;1.0;1.0;1.0;1.0;0.0;0.0
8724;1.0;1.0;1.0;1.0;0.0;0.0
8808;1.0;1.0;1.0;1.0;0.0;0.0
8888;0.0;0.0;0.0;0.0;0.0;0.0
8944;1.0;1.0;1.0;1.0;0.0;0.0
9012;1.0;1.0;1.0;1.0;0.0;0.0
9120;1.0;1.0;1.0;1.0;0.0;0.0
