;mean;amin;amax;median;std;var
168;0.0;0.0;0.0;0.0;0.0;0.0
240;0.0;0.0;0.0;0.0;0.0;0.0
424;0.0;0.0;0.0;0.0;0.0;0.0
464;1.0;1.0;1.0;1.0;0.0;0.0
564;1.0;1.0;1.0;1.0;0.0;0.0
568;0.0;0.0;0.0;0.0;0.0;0.0
684;1.0;1.0;1.0;1.0;0.0;0.0
720;0.0;0.0;0.0;0.0;0.0;0.0
864;1.0;1.0;1.0;1.0;0.0;0.0
884;0.0;0.0;0.0;0.0;0.0;0.0
948;0.0;0.0;0.0;0.0;0.0;0.0
1084;0.0;0.0;0.0;0.0;0.0;0.0
1240;0.0;0.0;0.0;0.0;0.0;0.0
1444;0.0;0.0;0.0;0.0;0.0;0.0
1524;0.0;0.0;0.0;0.0;0.0;0.0
1604;0.0;0.0;0.0;0.0;0.0;0.0
1764;0.0;0.0;0.0;0.0;0.0;0.0
1804;0.0;0.0;0.0;0.0;0.0;0.0
1900;1.0;1.0;1.0;1.0;0.0;0.0
2012;0.0;0.0;0.0;0.0;0.0;0.0
2140;0.0;0.0;0.0;0.0;0.0;0.0
2380;0.0;0.0;0.0;0.0;0.0;0.0
2416;0.0;0.0;0.0;0.0;0.0;0.0
2420;1.0;1.0;1.0;1.0;0.0;0.0
2540;0.0;0.0;0.0;0.0;0.0;0.0
2748;0.0;0.0;0.0;0.0;0.0;0.0
2860;0.0;0.0;0.0;0.0;0.0;0.0
2984;0.0;0.0;0.0;0.0;0.0;0.0
3036;0.0;0.0;0.0;0.0;0.0;0.0
3064;0.0;0.0;0.0;0.0;0.0;0.0
3144;0.0;0.0;0.0;0.0;0.0;0.0
3204;0.0;0.0;0.0;0.0;0.0;0.0
3224;0.0;0.0;0.0;0.0;0.0;0.0
3340;0.0;0.0;0.0;0.0;0.0;0.0
3436;0.0;0.0;0.0;0.0;0.0;0.0
3516;0.0;0.0;0.0;0.0;0.0;0.0
3524;0.0;0.0;0.0;0.0;0.0;0.0
3624;0.0;0.0;0.0;0.0;0.0;0.0
3704;0.0;0.0;0.0;0.0;0.0;0.0
3784;0.0;0.0;0.0;0.0;0.0;0.0
4004;0.0;0.0;0.0;0.0;0.0;0.0
4076;0.0;0.0;0.0;0.0;0.0;0.0
4156;0.0;0.0;0.0;0.0;0.0;0.0
4316;0.0;0.0;0.0;0.0;0.0;0.0
4504;0.0;0.0;0.0;0.0;0.0;0.0
4524;1.0;1.0;1.0;1.0;0.0;0.0
4592;1.0;1.0;1.0;1.0;0.0;0.0
4636;0.0;0.0;0.0;0.0;0.0;0.0
4716;0.0;0.0;0.0;0.0;0.0;0.0
4744;0.0;0.0;0.0;0.0;0.0;0.0
4832;1.0;1.0;1.0;1.0;0.0;0.0
4964;1.0;1.0;1.0;1.0;0.0;0.0
5232;0.0;0.0;0.0;0.0;0.0;0.0
5328;0.0;0.0;0.0;0.0;0.0;0.0
5392;0.0;0.0;0.0;0.0;0.0;0.0
5692;0.0;0.0;0.0;0.0;0.0;0.0
5792;0.0;0.0;0.0;0.0;0.0;0.0
5952;0.0;0.0;0.0;0.0;0.0;0.0
6288;0.0;0.0;0.0;0.0;0.0;0.0
6476;0.0;0.0;0.0;0.0;0.0;0.0
6816;1.0;1.0;1.0;1.0;0.0;0.0
6864;0.0;0.0;0.0;0.0;0.0;0.0
6976;0.0;0.0;0.0;0.0;0.0;0.0
6992;0.0;0.0;0.0;0.0;0.0;0.0
7088;0.0;0.0;0.0;0.0;0.0;0.0
7136;0.0;0.0;0.0;0.0;0.0;0.0
7152;0.0;0.0;0.0;0.0;0.0;0.0
7352;1.0;1.0;1.0;1.0;0.0;0.0
7528;1.0;1.0;1.0;1.0;0.0;0.0
7656;0.0;0.0;0.0;0.0;0.0;0.0
7688;0.0;0.0;0.0;0.0;0.0;0.0
7736;0.0;0.0;0.0;0.0;0.0;0.0
7768;0.0;0.0;0.0;0.0;0.0;0.0
7816;0.0;0.0;0.0;0.0;0.0;0.0
8156;0.0;0.0;0.0;0.0;0.0;0.0
8324;0.0;0.0;0.0;0.0;0.0;0.0
8476;0.0;0.0;0.0;0.0;0.0;0.0
8480;0.0;0.0;0.0;0.0;0.0;0.0
8488;1.0;1.0;1.0;1.0;0.0;0.0
8628;0.0;0.0;0.0;0.0;0.0;0.0
8708;0.0;0.0;0.0;0.0;0.0;0.0
8800;0.0;0.0;0.0;0.0;0.0;0.0
8916;1.0;1.0;1.0;1.0;0.0;0.0
9044;0.0;0.0;0.0;0.0;0.0;0.0
9164;0.0;0.0;0.0;0.0;0.0;0.0
9284;0.0;0.0;0.0;0.0;0.0;0.0
9448;0.0;0.0;0.0;0.0;0.0;0.0
9528;0.0;0.0;0.0;0.0;0.0;0.0
9804;0.0;0.0;0.0;0.0;0.0;0.0
9940;0.0;0.0;0.0;0.0;0.0;0.0
10020;0.0;0.0;0.0;0.0;0.0;0.0
10072;1.0;1.0;1.0;1.0;0.0;0.0
10180;0.0;0.0;0.0;0.0;0.0;0.0
10320;0.0;0.0;0.0;0.0;0.0;0.0
10496;0.0;0.0;0.0;0.0;0.0;0.0
10548;0.0;0.0;0.0;0.0;0.0;0.0
10620;1.0;1.0;1.0;1.0;0.0;0.0
10728;1.0;1.0;1.0;1.0;0.0;0.0
